review_id,user_name,review_text,rating,thumbs_up_count,review_created_version,app_version,review_date,developer_reply,developer_reply_date,brand,platform,lang_param,country_param,scraped_at
271581ea-3711-4c50-ad1f-4d966670c4ff,Christian Gabriel Decalit,"Fix this ping issues, everytime i play every games, suddenly lag every single time. I do not recommend this.",1,1,0.22.7,0.22.7,2026-04-02 07:43:26,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
b310dab5-412a-443b-823e-82aae9abb3b1,Alyanna Enciong,it's doesn't let me register a account when I'm doing everything right and I'm not laging,1,2,0.22.7,0.22.7,2026-04-02 06:51:31,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
53432852-dc8e-4d67-a75a-f8046e2daa52,:,worse matchmaking than capcom frfr,1,1,0.22.7,0.22.7,2026-04-01 14:39:22,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
22c432d7-a85d-4873-a4b2-88dfc5d84600,Kol Harsche,one of the absolute worst chess apps out there. zero regelation on cheating devices. and ignores all customers. TERRIBLE,1,0,,,2026-04-01 06:50:32,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
705321ec-e538-444d-a94b-447fe04d1c83,Mihin Weragama,The new update is really good. and those graphics are really good as well.,5,1,0.22.7,0.22.7,2026-03-31 23:08:19,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
24eff2af-4917-422a-97d5-958d139e27ec,Trevor Otich,Best Chess app . love how you can play learn and with others and especially love how there are not ads,5,1,0.22.7,0.22.7,2026-03-31 18:36:00,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
a1542b66-38ad-4266-a3a0-22074af37d51,Trainingson Pyngrope,"deeply disappointed I've just open my account I got block , I'm not a beginner player and i know some theory and I've played in other platforms for the past 2plus years as well ...I got flagged that I violates the financial fair play ,just give us options to give like beginner, intermediate or advanced...",2,0,,,2026-03-31 14:09:19,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
777f976c-b32d-4ffa-8a59-3633bf648c53,Rituraj,very good 👍👍👍👍👍👍,5,1,,,2026-03-31 11:06:24,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
f70fa1c4-59ed-40e1-86cd-7cd2007ab5ff,Rudra Sharma,"love the new experience , lichess team you are a life saver i will start donating as soon I start to earn thanks 🙏 pls never stop doing what you do .",5,1,0.22.7,0.22.7,2026-03-31 10:08:40,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
f7d85321-1679-420f-9883-8ad6ce357162,Tyrone Klopper,Lubbin Dis,5,0,0.22.7,0.22.7,2026-03-31 10:04:18,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
3c24317e-9910-4ce3-ab8d-3182409ad119,Lukas G,"best chess website, I prefer lichess to even the paid chess-com expierience.",5,0,0.22.7,0.22.7,2026-03-31 04:10:44,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
f6d73e63-e320-405e-b49b-2c5eef89e914,Francisco Mwangupili,"Please make the ""Request Computer Analysis"" feature easier to locate...",5,6,0.22.7,0.22.7,2026-03-30 19:40:23,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
c7a9c0fb-8926-49ba-8177-fceddfad0244,vivek venugopal,one of the worst timers in chess apps out there. there is a way to cheat and increase the time for yourself in bullet games. absolutely pathetic. absolutely horrible horrible timer.,1,0,,,2026-03-30 19:39:38,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
20b85ab3-58ee-4f9f-a76b-3fc6821f3bdf,Matthew Booth,"match setting is unweighted and with zero moderation, full of cheats and bots. you end up having 1300 hundreds who play like levvy followed by a 1700 who's way above your grading...",1,0,0.22.7,0.22.7,2026-03-30 12:28:49,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
934555f7-7bd2-4d9b-ac4e-198903408254,Wira,"hotseat player vs player is confusing, why the pieces flipped upside down everytime turn takes",1,0,0.22.7,0.22.7,2026-03-30 11:27:07,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
77b6c4dd-7560-4c0f-a8b8-b8aafeaf5d5f,Srinivasa Raghava,Better than Chess. com,5,1,0.22.7,0.22.7,2026-03-30 06:53:49,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
b1ca568e-d269-4a1c-8bc2-faec578395bd,The Practical Drummer,TAKES FOREVER TO PAIR A GAME UP EVEN WITH COMMON TIME CONTROLS.,4,0,0.22.7,0.22.7,2026-03-30 04:19:31,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
25fc22d0-bf81-41bf-9b5f-d47fee9d275a,Lesiba Mphahlele,"the UI is not quite there, I struggle a lot with browsing my previous games",3,0,0.22.7,0.22.7,2026-03-29 17:47:05,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
4d7759c1-ee04-4ae9-8219-39c8fd9168ff,Muthu Krishnan,i like unlimited free puzzles 🤟🤟,5,1,0.22.7,0.22.7,2026-03-29 17:36:49,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
8ce3bb23-82e3-4917-8808-d4bc01f9045b,ॐ,"You guys absolutely nailed it with the learning thing, but as a beginner I need like a library where you sort all the things like different openings and plays",5,1,0.22.7,0.22.7,2026-03-29 17:34:11,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
9811e317-c95b-4d2a-87a6-9feaca4fb8a2,Bash,new update is horrible! please go back to the original interface,1,1,0.22.7,0.22.7,2026-03-29 16:16:22,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
236fd201-b7fc-4b9d-bedf-379ddb277964,Vinicius Rodrigues,fantastic,5,1,0.22.7,0.22.7,2026-03-29 15:55:21,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
c83184f4-63f0-4f11-8a50-08b2427ddafa,Reiver Molina,Best chess App of all time.,5,1,0.22.7,0.22.7,2026-03-29 13:00:55,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
90888ef3-ca94-40e0-85e9-788406874f79,SUMAN MONDAL,"Apps freeze after 30sec of opening the app, kindly fix this.",3,0,0.22.7,0.22.7,2026-03-29 10:18:59,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
aef1b9ff-1fc0-45a4-bc21-97eed0497241,Siva Kumar,I mean for free in this economy i love it.,5,1,0.22.7,0.22.7,2026-03-29 05:30:25,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
1e189a7c-f4af-47ab-a9c6-afc5fb425636,Dielectric Truth,Best site and app to play chess on. all for free. thank you lichess,5,0,0.22.7,0.22.7,2026-03-28 23:55:50,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
03fc54d9-4b65-472a-b471-defaa270535a,Jim Greene,the best chess platform,5,0,0.22.7,0.22.7,2026-03-28 22:27:38,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
ab00c523-b812-451f-b70b-2090e310722e,sourav sahoo,the recent update is really good...love it,5,4,0.22.7,0.22.7,2026-03-28 19:42:37,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
3c9190af-187f-4edf-b6b3-2515722839d7,Rodney Jaime,very good game and free analysis,5,0,0.22.7,0.22.7,2026-03-28 18:16:08,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
f758af83-76d4-4a8b-800a-50497238dc72,Mitch Derise,"App just completely freezes up, every minute or so. Used to be great, now it's not even remotely playable",2,0,0.22.7,0.22.7,2026-03-28 06:42:26,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
47feb618-58a3-48fc-9f6c-236dab2d56a4,Adam Fominaya,does this site do any community control? cheater tracking? banning? no reply to any reports.,1,0,0.22.7,0.22.7,2026-03-28 03:50:14,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
323ecc23-aa8b-4489-8d6b-cf0f5131f595,charlie jones,"Great app for playing chess, alot of talented people to play against. This is what apps should be like, reward people for making a good quality app, not just forced to watch ads to feed there greed. thank you.",5,1,0.22.7,0.22.7,2026-03-27 00:55:55,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
344e3611-b282-4874-aad3-8245955e9e2e,Ahmed Mohamed,the perfect app ever to play online chess,5,1,0.22.7,0.22.7,2026-03-26 22:01:53,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
f3c36698-93e0-4e48-aa32-8c8d42a4be47,Prince,"In my friends phone it is showing me the option of post and to join community, but in my phone even after updating the app I am not getting these options",1,0,0.22.7,0.22.7,2026-03-26 10:09:57,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
eafdc630-08b8-4b52-95c2-293a267885dc,Alex Curteman,"Everything you need to play chess, and all the tools you need to get better. All for free, without ads or collecting any personal data. A rare gem in these times. Why bother with anything else?",5,1,0.22.7,0.22.7,2026-03-25 23:04:18,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
3003f810-92ac-4a9d-86e7-51b4ede21e2f,Leul Mekonnen,horrible horrible appllication,1,0,0.22.7,0.22.7,2026-03-25 18:26:17,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
b2b5ff2e-b5f2-42cc-bccd-8075756c91da,Lal Babu Sharma,This is the best app for chess lovers. If we could also review brilliant and great moves then it would be nice.,5,1,0.22.7,0.22.7,2026-03-25 17:50:28,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
f0b4d8f3-28bd-4344-9a0e-3e0683cdbc67,Salem Abawii,"the new app is working now , but the timer is not correct in some games i ran out of times multiple times , for example if i have left 10 or 5 sec the actual timer is to 1 or 2. and it is not connection problem",4,2,0.22.7,0.22.7,2026-03-25 16:13:15,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
cb1b7f30-4198-46e8-be11-5216d0a63f95,Devyugan R,excelent,5,1,0.21.9,0.21.9,2026-03-25 14:53:43,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
e26e3475-3b45-4377-a0ab-6d7cbb48fb25,Ekens Nathan,beautiful app I really love chess and the app makes it easier for me to play it worth it,5,1,0.21.9,0.21.9,2026-03-25 14:16:36,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
9ae30f27-7ed4-40c6-a067-ccd3d66812a7,Ioannis Koutoulakis,Thank you for existing!,5,1,0.22.7,0.22.7,2026-03-25 13:12:03,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
df2bf46e-020d-40d2-b696-4ae58c81186a,apple avocado,"They added offline play vs bots, with a very nice practice mode too. But custom mode is still very limited, please make it possible for players to make a custom position where you can give yourself like 20 pawns advantage and maybe challenge the computer. In the current custom board setup, it just doesn't let you start the game if you have a ""unrealistic"" amount of a certain piece. I know it's not the proper amount of pieces, but it's for fun!",4,20,0.22.7,0.22.7,2026-03-25 12:57:54,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
70cfff9e-aa9c-4e81-b411-d4c8eb94c148,Kun Dred,"The puzzle insights and the puzzle motifs help me strengthen the areas I did not know I was weak in, and I've started noticing actual improvements in my game. latest update is so dope I finally uninstalled the legacy Lichess after 5 years of using it. I can play offline now. hands down this is the best app for chess lovers like me. thank you team.",5,1,,,2026-03-25 12:48:11,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
1cf7ce81-9c0d-4640-9106-ea007c1c4023,HRISHIKESH GUJAR,no multiple premoves,1,0,0.22.7,0.22.7,2026-03-25 08:31:34,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
0ece0ceb-98a4-4d5a-865b-6d580e99a58f,Vinay Shirahatti,"A great app to play the great game of chess. However, there is a some room for improvement. For example, the phone screen turns off after some time (based on the screen timeout settings) when the app is being used. Can this be rectified so that the app prevents the phone screen from automatically turning off? Thanks and keep up the great work. 👍",4,2,0.22.7,0.22.7,2026-03-25 06:20:50,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
b5d08a20-fc17-41f0-ac43-f589e2095c47,Joseph Nyaema,"Really struggling to rate this new app with a white background and uppercase L everyone liked the app with white background, and same name with a lowercase l. It worked perfectly up to the point, where, for no reason at all, the opening explorer stopped working, leading me here looking for an upgrade that works, only to get this with Uppercase L... I've no words for it... trying to find something positive to say. At the very least, get the in-game opening-explorer during analysis.",2,1,0.22.7,0.22.7,2026-03-25 04:00:20,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
d768f0bc-5b3f-4c19-964f-c98ceaf7df42,King Sora,"I used years ago it was good now the game always redirect to the browser to log ain't work at all and hasn't offline play, most of the options vanished. very bad",1,2,0.22.7,0.22.7,2026-03-25 01:33:51,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
0af2ee06-4bc1-413b-beb9-4872dbe495ea,Vanessa Quinn,I used to love and recommend this game but like others said its changed and become unusable. Its a mess and the point system is ridiculous. We can't have anything nice.,1,0,,,2026-03-24 20:17:37,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
c7291dfc-ff4d-42a8-bf08-3551131d15bf,Abdun-Nafay Khawaja,"No question, the GOAT of chess sites. I exclusively use Lichess for my online games, and left every other platform within a month of installing this app. It is much more professional and educational than anything else available. The only complaints I can make is that the web version is much better than the app, especially with the moves voice-over as ""sound"", but also the incredible ""Learn from your Mistakes"" feature, which sadly has been buggy on the android app for as long as I have known.",5,7,0.22.7,0.22.7,2026-03-24 19:26:20,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
7d503c1c-0f6e-49ea-81c8-571133d52fae,Pritam Tarafdar,Had a very nice experience with this app.. highly recommended 👍,5,1,0.22.7,0.22.7,2026-03-23 20:33:36,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
cf9899d9-bb97-4ce8-b563-c23ae882cb8b,Sachin,free chess with very neat and clean UI. lots of players are online to play with & the tournaments are always available! really likes the way they served,5,2,0.22.7,0.22.7,2026-03-23 18:28:24,,,Lichess,Google Play,en,us,2026-04-17 17:51:35
