dataset_type,brand,theme,theme_es,n_reviews,average_rating,median_rating,pct_1_2_star,pct_4_5_star,helpful_votes_mean,n_reviews_total_brand,share_of_reviews
fixed_window_2026-03-11_to_2026-04-11,Chess.com,community_tournaments_social,"Comunidad, torneos y social",123,3.731707317073171,5.0,0.2682926829268293,0.6829268292682927,1.024390243902439,2743,0.044841414509660955
fixed_window_2026-03-11_to_2026-04-11,Chess.com,developer_support,Soporte y respuesta del desarrollador,46,2.108695652173913,1.0,0.717391304347826,0.2391304347826087,1.4565217391304348,2743,0.016769959897921984
fixed_window_2026-03-11_to_2026-04-11,Chess.com,fair_play_moderation,"Fair play, trampas y moderación",87,1.7701149425287357,1.0,0.7471264367816092,0.14942528735632185,0.4827586206896552,2743,0.031717098067808966
fixed_window_2026-03-11_to_2026-04-11,Chess.com,gameplay_matchmaking,Jugabilidad y emparejamiento,237,3.1181434599156117,3.0,0.39662447257383965,0.4810126582278481,0.7426160337552743,2743,0.08640174990885892
fixed_window_2026-03-11_to_2026-04-11,Chess.com,interface_usability,Interfaz y usabilidad,48,2.9791666666666665,3.0,0.4583333333333333,0.4583333333333333,2.2083333333333335,2743,0.017499088589135983
fixed_window_2026-03-11_to_2026-04-11,Chess.com,performance_stability,"Rendimiento, estabilidad y fallos",72,2.263888888888889,2.0,0.6111111111111112,0.2361111111111111,2.0694444444444446,2743,0.026248632883703972
fixed_window_2026-03-11_to_2026-04-11,Chess.com,puzzles_learning,Puzles y aprendizaje,303,4.1650165016501655,5.0,0.1419141914191419,0.7953795379537953,0.7194719471947195,2743,0.11046299671892089
fixed_window_2026-03-11_to_2026-04-11,Chess.com,updates_version_changes,Actualizaciones y cambios de versión,101,2.613861386138614,2.0,0.504950495049505,0.32673267326732675,0.9603960396039604,2743,0.03682099890630696
fixed_window_2026-03-11_to_2026-04-11,Lichess,account_access,Cuenta y acceso,13,2.4615384615384617,2.0,0.6153846153846154,0.3076923076923077,1.6153846153846154,142,0.09154929577464789
fixed_window_2026-03-11_to_2026-04-11,Lichess,ads_pricing_premium,"Anuncios, precio y premium",9,4.777777777777778,5.0,0.0,0.8888888888888888,1.0,142,0.06338028169014084
fixed_window_2026-03-11_to_2026-04-11,Lichess,analysis_tools,Análisis y herramientas,11,4.090909090909091,4.0,0.09090909090909091,0.7272727272727273,1.8181818181818181,142,0.07746478873239436
fixed_window_2026-03-11_to_2026-04-11,Lichess,community_tournaments_social,"Comunidad, torneos y social",13,3.3076923076923075,4.0,0.38461538461538464,0.6153846153846154,1.9230769230769231,142,0.09154929577464789
fixed_window_2026-03-11_to_2026-04-11,Lichess,fair_play_moderation,"Fair play, trampas y moderación",11,1.0909090909090908,1.0,1.0,0.0,1.0909090909090908,142,0.07746478873239436
fixed_window_2026-03-11_to_2026-04-11,Lichess,gameplay_matchmaking,Jugabilidad y emparejamiento,14,2.642857142857143,2.5,0.5,0.35714285714285715,2.2142857142857144,142,0.09859154929577464
fixed_window_2026-03-11_to_2026-04-11,Lichess,interface_usability,Interfaz y usabilidad,13,3.0,3.0,0.38461538461538464,0.38461538461538464,1.0,142,0.09154929577464789
fixed_window_2026-03-11_to_2026-04-11,Lichess,performance_stability,"Rendimiento, estabilidad y fallos",8,2.125,1.5,0.625,0.25,0.75,142,0.056338028169014086
fixed_window_2026-03-11_to_2026-04-11,Lichess,puzzles_learning,Puzles y aprendizaje,21,4.285714285714286,5.0,0.14285714285714285,0.8095238095238095,2.4761904761904763,142,0.14788732394366197
fixed_window_2026-03-11_to_2026-04-11,Lichess,updates_version_changes,Actualizaciones y cambios de versión,14,3.7142857142857144,5.0,0.2857142857142857,0.6428571428571429,4.5,142,0.09859154929577464
